pm25Grade1h,pm10Value24,so2Value,pm10Grade1h,pm10Value,o3Grade,pm25Flag,khaiGrade,pm25Value,no2Flag,mangName,stationName,no2Value,so2Grade,stationCode,coFlag,khaiValue,coValue,pm10Flag,sidoName,pm25Value24,no2Grade,o3Flag,pm25Grade,so2Flag,coGrade,dataTime,pm10Grade,o3Value
2.0,21.0,0.003,1.0,23.0,1.0,,2.0,19,,도로변대기,초량동,0.016,1.0,221131,,56,0.2,,부산,18,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.024
1.0,16.0,0.003,1.0,18.0,1.0,,1.0,7,,도시대기,태종대,0.028,1.0,221141,,47,0.3,,부산,6,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.004
1.0,18.0,0.003,1.0,18.0,2.0,,2.0,11,,도시대기,청학동,0.007,1.0,221142,,59,0.3,,부산,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.039
1.0,22.0,0.002,1.0,22.0,1.0,,1.0,12,,도시대기,전포동,0.008,1.0,221152,,43,0.4,,부산,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.018
2.0,28.0,0.003,1.0,29.0,1.0,,2.0,18,,도로변대기,온천동,0.009,1.0,221162,,56,0.1,,부산,18,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.028
1.0,15.0,0.002,1.0,18.0,1.0,,1.0,3,,도시대기,명장동,0.008,1.0,221163,,33,0.4,,부산,9,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.02
1.0,18.0,0.003,1.0,12.0,1.0,,1.0,11,,도시대기,대연동,0.014,1.0,221172,,43,0.4,,부산,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.012
1.0,19.0,0.005,1.0,15.0,1.0,,1.0,8,,도시대기,용호동,0.019,1.0,221174,,37,0.3,,부산,11,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.019
1.0,21.0,0.001,1.0,19.0,1.0,,1.0,11,,도시대기,학장동,0.016,1.0,221181,,43,0.3,,부산,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.011
1.0,21.0,0.002,1.0,25.0,1.0,,1.0,7,,도시대기,덕천동,0.011,1.0,221182,,35,0.2,,부산,9,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.011
1.0,20.0,-,1.0,16.0,1.0,,1.0,10,,도시대기,화명동,0.011,,221183,통신장애,33,-,,부산,10,1.0,,1.0,통신장애,,2025-07-07 01:00,1.0,0.018
1.0,16.0,0.004,1.0,14.0,1.0,,1.0,12,,도로변대기,삼락동,0.018,1.0,221184,,31,0.3,,부산,8,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.009
1.0,24.0,0.003,1.0,21.0,1.0,,1.0,12,,도로변대기,우동,0.008,1.0,221185,,46,0.3,,부산,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.028
2.0,19.0,0.005,1.0,22.0,1.0,,1.0,20,,도시대기,청룡동,0.014,1.0,221191,,50,0.4,,부산,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.011
1.0,23.0,0.002,1.0,26.0,1.0,,1.0,13,,도시대기,좌동,0.004,1.0,221192,,47,0.3,,부산,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.028
1.0,22.0,0.004,1.0,25.0,2.0,,2.0,13,,도시대기,재송동,0.002,1.0,221193,,54,0.2,,부산,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.034
1.0,21.0,0.003,1.0,21.0,1.0,,1.0,11,,도시대기,장림동,0.024,1.0,221202,,41,0.2,,부산,11,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.005
1.0,16.0,0.002,1.0,14.0,1.0,,1.0,4,,도시대기,대저동,0.012,1.0,221211,,27,0.3,,부산,8,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.013
1.0,19.0,0.003,1.0,20.0,1.0,,1.0,15,,도시대기,녹산동,0.021,1.0,221212,,40,0.2,,부산,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.004
1.0,19.0,0.004,1.0,16.0,1.0,,1.0,4,,도시대기,명지동,0.011,1.0,221213,,32,0.2,,부산,5,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.018
,18.0,-,1.0,13.0,1.0,통신장애,,-,,도시대기,연산동,0.008,,221221,,-,0.3,,부산,-,1.0,,,통신장애,1.0,2025-07-07 01:00,1.0,0.025
2.0,21.0,0.003,1.0,22.0,1.0,,1.0,17,,도시대기,기장읍,0.004,1.0,221231,,47,0.3,,부산,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.028
2.0,24.0,0.002,1.0,23.0,2.0,,2.0,17,,도시대기,용수리,0.004,1.0,221233,,55,0.2,,부산,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.034
1.0,18.0,0.002,1.0,15.0,1.0,,1.0,13,,도시대기,수정동,0.006,1.0,221241,,50,0.2,,부산,9,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.03
1.0,20.0,0.002,1.0,19.0,1.0,,1.0,8,,도시대기,회동동,0.008,1.0,221253,,40,0.3,,부산,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.02
1.0,20.0,0.003,1.0,20.0,2.0,,2.0,10,,도시대기,광안동,0.008,1.0,221271,,55,0.3,,부산,11,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.035
1.0,17.0,0.003,1.0,16.0,1.0,,1.0,9,,도시대기,대신동,0.008,1.0,221281,,48,0.3,,부산,11,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.029
1.0,18.0,0.004,1.0,16.0,1.0,,1.0,12,,도시대기,덕포동,0.015,1.0,221282,,37,0.2,,부산,11,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.016
1.0,33.0,0.003,2.0,41.0,1.0,,2.0,12,,도시대기,개금동,0.013,1.0,221283,,53,0.3,,부산,15,1.0,,1.0,,1.0,2025-07-07 01:00,2.0,0.016
1.0,18.0,0.003,1.0,17.0,1.0,,1.0,8,,도시대기,당리동,0.019,1.0,221284,,33,0.3,,부산,10,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.011
1.0,21.0,0.002,1.0,29.0,1.0,,1.0,10,,항만,부산항,0.014,1.0,221903,,50,0.2,,부산,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.017
,,,,,,,,,,항만,부산신항,,,221904,,,,,부산,,,,,,,,,
1.0,23.0,0.002,1.0,20.0,1.0,,1.0,10,,항만,부산북항,0.013,1.0,221905,,40,0.2,,부산,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.009
1.0,25.0,0.004,1.0,26.0,1.0,,1.0,12,,항만,부산감만,0.027,1.0,221906,,45,0.3,,부산,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.003
1.0,23,0.002,1.0,29,2.0,,2.0,15,,도시대기,남산1동,0.005,1.0,422112,,60,0.3,,대구,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.042
2.0,20,0.002,1.0,23,2.0,,2.0,16,,도시대기,수창동,0.01,1.0,422114,,56,0.4,,대구,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.037
2.0,17,0.003,1.0,14,1.0,,1.0,18,,도시대기,지산동,0.007,1.0,422115,,49,0.4,,대구,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.029
2.0,17,0.001,1.0,18,2.0,,2.0,18,,도시대기,서호동,0.006,1.0,422121,,62,0.6,,대구,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.043
1.0,20,0.002,1.0,25,1.0,,1.0,9,,도로변대기,용계동,0.014,1.0,422122,,43,0.4,,대구,8,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.026
1.0,24,0.002,1.0,28,1.0,,1.0,11,,도시대기,이현동,0.023,1.0,422132,,50,0.3,,대구,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.013
2.0,20,0.002,1.0,23,1.0,,1.0,16,,도로변대기,평리동,0.018,1.0,422133,,50,0.4,,대구,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.021
2.0,18,0.002,1.0,22,2.0,,2.0,17,,도시대기,대명동,0.009,1.0,422141,,51,0.4,,대구,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.03
1.0,21,0.003,1.0,24,2.0,,2.0,15,,도시대기,신암동,0.007,1.0,422154,,62,0.4,,대구,15,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.043
2.0,22,0.003,1.0,23,1.0,,1.0,18,,도시대기,태전동,0.009,1.0,422155,,47,0.7,,대구,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.028
1.0,22,0.002,1.0,24,1.0,,2.0,14,,도시대기,산격동,0.013,1.0,422158,,56,0.5,,대구,18,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.029
2.0,19,0.002,1.0,16,1.0,,1.0,16,,도로변대기,서변동,0.008,1.0,422159,,40,0.2,,대구,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.015
1.0,18,0.002,1.0,22,1.0,,1.0,9,,도로변대기,연호동,0.009,1.0,422160,,47,0.3,,대구,9,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.028
1.0,18,0.004,1.0,19,2.0,,2.0,13,,도시대기,만촌동,0.005,1.0,422161,,66,0.3,,대구,11,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.048
1.0,21,0.002,1.0,22,1.0,,1.0,13,,도시대기,호림동,0.007,1.0,422171,,43,0.4,,대구,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.014
1.0,19,0.002,1.0,20,1.0,,1.0,14,,도시대기,유가읍,0.009,1.0,422201,,47,0.4,,대구,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.02
1.0,19,0.002,1.0,25,1.0,,1.0,15,,도로변대기,이곡동,0.008,1.0,422202,,43,0.3,,대구,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.017
1.0,22,0.002,1.0,19,2.0,,2.0,9,,도시대기,시지동,0.006,1.0,422203,,54,0.4,,대구,10,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.034
2.0,25,0.002,1.0,25,2.0,,2.0,18,,도시대기,진천동,0.008,1.0,422204,,54,0.4,,대구,17,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.03
